JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458727.53813,15.386,0.032,,V,DKS,,ENSEMBLE,000-BMS-267,X23135BCF,ERROR: V-C STDDEV+C POISSON IN QUAD; ENSEMBLE: 000-BMS-264;000-BMS-265;000-BMS-269;000-BMS-266,1,1.237,Z,13.575,14.913,,V1492 CYG,AAVSO,STD,,,,
2458727.54488,17.303,0.021,,B,DKS,,ENSEMBLE,000-BMS-267,X23137ED,ERROR: V-C STDDEV+C POISSON IN QUAD; ENSEMBLE: 000-BMS-264;000-BMS-265;000-BMS-269;000-BMS-266,1,1.214,Z,14.563,16.160,,V1492 CYG,AAVSO,STD,,,,
2458748.34792,15.79,0.015,,V,TIA,,000BCM650,000BCM693,X24546BJD,,0,,Z,12.897,14.340,,V1492 CYG,MCSE,STD,,,,
